Time (s),U,V,Y
439200.0000,0.1315,2.8949,2.2411,0.0008
442800.0000,0.1129,2.9336,2.6096,0.0008
446400.0000,0.0537,2.9407,5.4855,0.0009
450000.0000,0.0338,2.9952,8.7276,0.0009
453600.0000,0.1101,2.9624,2.6752,0.0009
457200.0000,0.0279,2.9629,10.5747,0.0009
460800.0000,0.0703,2.9396,4.1884,0.0009
464400.0000,0.2057,2.8869,1.4321,0.0009
468000.0000,0.0420,2.9227,7.0222,0.0009
471600.0000,0.0899,2.9436,3.2772,0.0009
475200.0000,0.1672,2.9115,1.7624,0.0009
478800.0000,0.0405,2.9190,7.2815,0.0009
482400.0000,0.0173,2.7943,16.4764,0.0009
486000.0000,0.0067,2.8804,42.4197,0.0009
489600.0000,0.1423,2.8365,2.0014,0.0009
493200.0000,0.1131,2.7853,2.5184,0.0009
496800.0000,0.0351,2.8550,8.1085,0.0009
500400.0000,0.0300,2.9234,9.4942,0.0009
504000.0000,0.0023,2.9220,124.0459,0.0009
507600.0000,0.0263,2.9218,10.8374,0.0010
511200.0000,0.1755,2.8636,1.6223,0.0010
514800.0000,0.0286,2.8725,9.9397,0.0010
518400.0000,0.0834,2.8743,3.4152,0.0010
522000.0000,0.0982,2.8474,2.8995,0.0010
525600.0000,0.1160,2.8104,2.4552,0.0010
529200.0000,0.0535,2.8354,5.3211,0.0010
532800.0000,0.2009,2.8439,1.4176,0.0010
536400.0000,0.0908,2.8555,3.1363,0.0010
540000.0000,0.0459,2.8473,6.1968,0.0010
543600.0000,0.0075,2.8512,37.8029,0.0010
